trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-90.11954346169824,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-71.0557429662827,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-123.35264193685164,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-74.29171687890725,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-82.63741255246852,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-117.70244506071472,"{0: 17, 1: 5, 2: 5, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-70.9175488368154,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-103.64214059282565,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,9,-23.105379867488782,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-49.3532744393042,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-64.39484506942293,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,7,-0.5960420307173475,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-47.980283082694754,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,10,17.1729006171891,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,13,-0.41676404974927883,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-33.477527581831374,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-7.564266683396846,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,17.768107071539873,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,11,24.03749743633013,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,4,-18.535101499342264,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-59.98311635243668,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,8,-6.253974846085048,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,12,-27.524571769273116,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,9,16.370355584283583,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,-44.4193519120137,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,8,19.483651203200505,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,14,-37.16676786858466,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,21,-25.270537650449096,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,0,-20.64805024584475,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-9.963007047066322,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
