trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",30,0,-139.63478560726057,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",20,0,-158.67884229244362,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",25,15,-39.66109918476137,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",20,0,-80.1891222985678,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",25,0,-108.77065661905843,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",20,0,-92.597552518117,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",25,0,-65.47129091325284,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",20,0,-92.92133553692791,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",20,0,-71.90760801344106,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359595}",30,0,-160.68083097742257,"{0: 14, 1: 6, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",25,0,-156.76734600389588,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",30,0,-228.4665402744794,"{0: 17, 1: 5, 2: 2, 3: 2, 4: 4}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",30,0,-127.23233463746718,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",20,14,-3.143741527916652,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",20,0,-131.3089081952408,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.9841273200552851, 'e': 0.8521437889662113}",30,0,-117.10307072041162,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.8436648165963837}",20,0,-227.50236754058173,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 5}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.835270211411272}",25,0,-72.81198953377974,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
