trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-36.452783620342345,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-64.70528120734853,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-110.75123690934542,"{0: 11, 1: 5, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-62.33388356960485,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,10,-19.958179082317894,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-146.95156169597618,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-200.21172408906966,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-117.4207657210237,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-221.68074634991208,"{0: 13, 1: 3, 2: 10, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-175.48856416010176,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-183.1282284345452,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-108.80164561727943,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,-35.69537935268585,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-54.570039078551666,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-70.35196162284427,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-116.92217158417765,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-50.7936236135665,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-110.64569476925215,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-137.75091644451157,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-125.04103850662652,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-232.09520367275485,"{0: 13, 1: 4, 2: 8, 3: 3, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-137.69663349686428,"{0: 10, 1: 4, 2: 9, 3: 2, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-119.09779969482062,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-142.1362383784664,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,4.0680876027180135,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,14,-19.161927977353592,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,2,-73.52233461493665,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,0,-214.8882694810363,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",30,0,-111.58958818569376,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-148.5616362539799,"{0: 6, 1: 6, 2: 5, 3: 2, 4: 1}",0
